"","sex","height","weight","handedness","exercise","smoke"
"90","Female",65.2745098039216,119,"Left","Some","Never"
"91","Male",72,164,"Right","Some","Never"
"92","Female",65.2745098039216,141,"Right","Some","Never"
"93","Female",65,134,"Right","Some","Never"
"94","Female",66,166,"Right","Some","Never"
"95","Male",70,185,"Right","Freq","Heavy"
"96","Female",65.2745098039216,159,"Right","Some","Never"
"97","Male",75,177,"Right","Freq","Regul"
"98","Female",66,150,"Right","Freq","Never"
"99","Male",65,199,"Right","Freq","Never"
"100","Female",69,82,"Right","Freq","Never"
"101","Male",74,178,"Right","Some","Never"
"102","Male",67,237,"Right","None","Never"
"103","Female",63,157,"Right","Some","Never"
"104","Female",69,131,"Right","Freq","Never"
"105","Female",64,141,"Right","Some","Heavy"
"106","Female",67,121,"Right","Some","Never"
"107","Female",68,148,"Right","Freq","Occas"
"108","Female",65.2745098039216,178,"Right","Freq","Never"
"109","Male",71,166,"Right","Freq","Never"
"110","Male",71,240,"Right","Some","Regul"
"111","Female",69,138,"Right","Freq","Never"
"112","Male",75,165,"Right","None","Never"
"113","Female",67,129,"Right","Freq","Never"
"114","Male",73,157,"Right","Freq","Never"
"115","Female",64,98,"Right","Freq","Never"
"116","Female",62,164,"Right","None","Never"
"117","Female",63,180,"Right","Some","Never"
"118","Male",76,137,"Left","Some","Heavy"
"119","Female",67,203,"Left","Some","Never"
"120","Male",72,163,"Right","Freq","Heavy"
"121","Male",70.4150943396226,193,"Right","Freq","Occas"
"122","Male",70,174,"Right","Freq","Occas"
"123","Female",68,157,"Right","Freq","Never"
"124","Male",71,170,"Left","Freq","Never"
"125","Male",69,199,"Right","Freq","Never"
"126","Male",71,185,"Right","Freq","Never"
"127","Female",68,103,"Right","Freq","Never"
"128","Male",70,190,"Right","Freq","Regul"
"129","Female",62,166,"Right","Freq","Never"
"130","Female",60,157,"Right","Some","Never"
"131","Male",74,166,"Right","Freq","Never"
"132","Male",70,155,"Right","Some","Never"
"133","Female",65.2745098039216,181,"Right","Some","Never"
"134","Female",63,129,"Left","Freq","Occas"
"135","Male",69,220,"Right","Some","Never"
"136","Male",74,192,"Right","Some","Regul"
"138","Male",72,177,"Right","Freq","Never"
"139","Male",67,217,"Right","Freq","Never"
"142","Female",65,136,"Right","None","Never"
"143","Female",68,159,"Right","Freq","Never"
"144","Male",71,150,"Right","Some","Never"
"145","Female",68,86,"Left","Freq","Never"
"146","Male",73,187,"Right","Some","Never"
"147","Male",74,203,"Right","Freq","Regul"
"148","Male",73,171,"Right","Freq","Never"
"149","Female",65,162,"Right","Freq","Never"
"150","Female",65,156,"Right","Freq","Never"
"151","Male",77,191,"Right","Freq","Never"
"152","Female",65,180,"Right","Freq","Never"
"153","Female",60,158,"Right","Some","Regul"
"154","Male",68,200,"Right","Freq","Never"
"155","Male",71,233,"Right","None","Never"
"156","Male",68,162,"Right","Freq","Never"
"157","Male",70.4150943396226,191,"Right","Freq","Heavy"
"158","Female",66,126,"Right","Some","Never"
"159","Male",74,228,"Right","None","Never"
"160","Male",74,199,"Right","Freq","Regul"
"161","Female",66,177,"Right","None","Never"
"162","Male",66,170,"Left","Some","Never"
"163","Male",76,237,"Right","Some","Never"
"164","Female",67,99,"Right","Freq","Occas"
"165","Male",70,241,"Right","Some","Never"
"166","Female",66,164,"Right","Some","Never"
"167","Female",67,152,"Right","Some","Never"
"168","Female",63,157,"Right","Some","Regul"
"169","Male",74,168,"Right","Freq","Never"
"170","Male",71,210,"Right","Freq","Never"
"171","Female",66,167,"Right","Some","Never"
"172","Male",72,215,"Left","Some","Occas"
"173","Female",65.2745098039216,134,"Right","Some","Regul"
"174","Female",65,170,"Right","Freq","Never"
"175","Female",62,151,"Right","Freq","Never"
"176","Female",67,160,"Left","Freq","Never"
"177","Male",68,189,"Right","Freq","Regul"
"178","Female",65,181,"Right","Freq","Never"
"179","Female",65.2745098039216,184,"Right","Freq","Regul"
"180","Female",64,132,"Right","Some","Never"
"181","Male",68,186,"Right","Freq","Occas"
"182","Female",65,112,"Right","Freq","Occas"
"183","Female",64,128,"Right","Some","Never"
"184","Male",67,156,"Right","Freq","Never"
"185","Male",69,221,"Right","Some","Never"
"186","Male",66,958,"Right","Some","Never"
"187","Female",64,184,"Right","Some","Never"
"188","Male",65,198,"Right","None","Never"
"189","Male",68,183,"Right","Freq","Never"
"190","Male",77,168,"Right","Freq","Never"
"191","Male",70,221,"Right","Some","Never"
"192","Male",71,150,"Right","Some","Never"
"193","Male",69,185,"Right","None","Occas"
"194","Female",63,150,"Right","Some","Never"
"195","Female",62,159,"Right","None","Never"
"196","Female",65,160,"Right","Some","Never"
"197","Female",67,116,"Right","Freq","Never"
"198","Male",61,175,"Right","Freq","Never"
"199","Female",67,133,"Right","Some","Occas"
"200","Female",65,147,"Right","Some","Never"
"201","Female",66,154,"Right","Some","Occas"
"202","Male",68,180,"Right","Freq","Never"
"203","Female",65.2745098039216,138,"Right","Some","Never"
"204","Female",63,176,"Right","None","Never"
"205","Male",70,242,"Right","Some","Regul"
"206","Female",66,101,"Right","Freq","Occas"
"207","Female",60,148,"Right","Some","Never"
"208","Male",63,193,"Right","Some","Never"
"209","Male",65,232,"Left","None","Never"
"210","Female",68,112,"Right","Freq","Never"
"211","Female",63,121,"Right","Some","Never"
"212","Female",64,108,"Left","Some","Never"
"213","Male",70.4150943396226,178,"Right","Freq","Never"
"214","Male",65,197,"Right","Some","Never"
"215","Female",66,192,"Right","Some","Never"
"216","Male",67,145,"Right","Some","Never"
"217","Female",65.2745098039216,152,"Right","None","Never"
"218","Male",73,150,"Right","Freq","Never"
"219","Female",68,118,"Right","Freq","Never"
"220","Male",74,177,"Right","Freq","Never"
"221","Male",67,189,"Right","None","Heavy"
"222","Female",66,141,"Right","Freq","Never"
"223","Female",64,132,"Right","Some","Never"
"224","Female",59,147,"Right","Freq","Never"
"225","Female",65.2745098039216,126,"Right","Some","Never"
"226","Female",65.2745098039216,139,"Right","Some","Never"
"227","Female",67,178,"Right","Some","Heavy"
"228","Male",73,218,"Right","Freq","Never"
"229","Female",66,137,"Right","Freq","Regul"
"230","Male",73,195,"Right","Freq","Occas"
"231","Female",66,169,"Right","Some","Never"
"232","Male",71,141,"Right","Some","Never"
"233","Female",65,156,"Right","Some","Never"
"234","Female",63,159,"Right","Some","Never"
"235","Female",67,152,"Right","Some","Never"
"236","Male",72,193,"Right","Some","Never"
"237","Female",66,178,"Right","Freq","Never"
